 iconf, T, nbar, abs_nbar, nbar2, nbar4, nbinder
  21 0.420000E+01 0.564590E-02 0.238384E+00 0.943446E-01 0.289032E-01 -.824071E-01
  21 0.424000E+01 -.446093E-02 0.144436E+00 0.352723E-01 0.477105E-02 -.278280E+00
  21 0.428000E+01 -.475130E-02 0.109735E+00 0.199777E-01 0.147234E-02 -.229696E+00
  21 0.432000E+01 -.103150E-02 0.936219E-01 0.141833E-01 0.685066E-03 -.135162E+00
  21 0.436000E+01 -.769600E-04 0.846898E-01 0.114570E-01 0.426746E-03 -.836918E-01
  21 0.440000E+01 -.226830E-03 0.777100E-01 0.962160E-02 0.292350E-03 -.526580E-01
  22 0.400000E+01 0.164184E+01 0.164184E+01 0.271882E+01 0.763713E+01 0.655612E+00
  22 0.404000E+01 0.145178E+01 0.145178E+01 0.213737E+01 0.481053E+01 0.648994E+00
  22 0.408000E+01 0.122016E+01 0.122017E+01 0.153007E+01 0.257148E+01 0.633865E+00
  22 0.412000E+01 -.246081E-01 0.904408E+00 0.892344E+00 0.100503E+01 0.579279E+00
  22 0.416000E+01 0.484076E-01 0.505440E+00 0.342745E+00 0.223918E+00 0.364631E+00
  22 0.420000E+01 0.947580E-02 0.236901E+00 0.934677E-01 0.284981E-01 -.873544E-01
  22 0.424000E+01 -.184520E-03 0.143143E+00 0.348145E-01 0.472567E-02 -.299633E+00
  22 0.428000E+01 0.514000E-04 0.109015E+00 0.197565E-01 0.147101E-02 -.256245E+00
  22 0.432000E+01 -.372490E-03 0.949903E-01 0.145881E-01 0.721735E-03 -.130475E+00
  22 0.436000E+01 0.394850E-03 0.837145E-01 0.112069E-01 0.404800E-03 -.743476E-01
  22 0.440000E+01 0.589400E-04 0.775214E-01 0.952832E-02 0.286510E-03 -.519291E-01
  23 0.400000E+01 0.164022E+01 0.164022E+01 0.271391E+01 0.761413E+01 0.655405E+00
  23 0.404000E+01 0.145266E+01 0.145266E+01 0.213919E+01 0.481400E+01 0.649340E+00
  23 0.408000E+01 -.122456E+01 0.122456E+01 0.154003E+01 0.259896E+01 0.634723E+00
  23 0.412000E+01 -.211378E+00 0.913536E+00 0.908134E+00 0.103528E+01 0.581555E+00
  23 0.416000E+01 -.449761E-01 0.506446E+00 0.344294E+00 0.226411E+00 0.363325E+00
  23 0.420000E+01 0.108377E-01 0.240465E+00 0.960299E-01 0.299162E-01 -.813642E-01
  23 0.424000E+01 0.237173E-02 0.143710E+00 0.348741E-01 0.455516E-02 -.248465E+00
  23 0.428000E+01 -.291071E-02 0.108881E+00 0.195840E-01 0.139625E-02 -.213494E+00
  23 0.432000E+01 0.896400E-04 0.930365E-01 0.140543E-01 0.692504E-03 -.168645E+00
  23 0.436000E+01 0.577780E-03 0.838825E-01 0.112657E-01 0.412102E-03 -.823583E-01
  23 0.440000E+01 -.814780E-03 0.771438E-01 0.945773E-02 0.283598E-03 -.568389E-01
  24 0.400000E+01 0.164259E+01 0.164259E+01 0.272087E+01 0.764417E+01 0.655813E+00
  24 0.404000E+01 0.144996E+01 0.144996E+01 0.213131E+01 0.477891E+01 0.649317E+00
  24 0.408000E+01 0.121622E+01 0.121622E+01 0.152143E+01 0.254916E+01 0.632912E+00
  24 0.412000E+01 -.821878E-02 0.901789E+00 0.891419E+00 0.100949E+01 0.576535E+00
  24 0.416000E+01 0.926752E-02 0.505293E+00 0.341163E+00 0.220126E+00 0.369583E+00
  24 0.420000E+01 0.180081E-01 0.233379E+00 0.915243E-01 0.280117E-01 -.114667E+00
  24 0.424000E+01 -.614533E-02 0.143664E+00 0.350003E-01 0.462086E-02 -.257359E+00
  24 0.428000E+01 0.548090E-03 0.111355E+00 0.205231E-01 0.155762E-02 -.232699E+00
