 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.855263E+01   49 -.410757E+01 0.783228E-01
 0.855263E+01   50 -.400934E+01 0.464610E+00
 0.855263E+01   51 -.391112E+01 0.395474E+00
 0.855263E+01   52 -.381290E+01 0.572434E-01
 0.855263E+01   53 -.371468E+01 0.191910E-02
 0.855263E+01   54 -.361645E+01 0.750000E-05
 0.855263E+01   55 -.351823E+01 0.000000E+00
 0.855263E+01   56 -.342001E+01 0.000000E+00
 0.855263E+01   57 -.332179E+01 0.000000E+00
 0.855263E+01   58 -.322356E+01 0.000000E+00
 0.855263E+01   59 -.312534E+01 0.000000E+00
 0.855263E+01   60 -.302712E+01 0.000000E+00
 0.855263E+01   61 -.292890E+01 0.000000E+00
 0.855263E+01   62 -.283068E+01 0.000000E+00
 0.855263E+01   63 -.273245E+01 0.000000E+00
 0.855263E+01   64 -.263423E+01 0.000000E+00
 0.855263E+01   65 -.253601E+01 0.000000E+00
 0.855263E+01   66 -.243779E+01 0.000000E+00
 0.855263E+01   67 -.233956E+01 0.000000E+00
 0.855263E+01   68 -.224134E+01 0.000000E+00
 0.855263E+01   69 -.214312E+01 0.000000E+00
 0.855263E+01   70 -.204490E+01 0.000000E+00
 0.855263E+01   71 -.194667E+01 0.000000E+00
 0.855263E+01   72 -.184845E+01 0.000000E+00
 0.855263E+01   73 -.175023E+01 0.000000E+00
 0.855263E+01   74 -.165201E+01 0.000000E+00
 0.855263E+01   75 -.155378E+01 0.000000E+00
 0.855263E+01   76 -.145556E+01 0.000000E+00
 0.855263E+01   77 -.135734E+01 0.000000E+00
 0.855263E+01   78 -.125912E+01 0.000000E+00
 0.855263E+01   79 -.116089E+01 0.000000E+00
 0.855263E+01   80 -.106267E+01 0.000000E+00
 0.855263E+01   81 -.964449E+00 0.000000E+00
 0.855263E+01   82 -.866226E+00 0.000000E+00
 0.855263E+01   83 -.768004E+00 0.000000E+00
 0.855263E+01   84 -.669781E+00 0.000000E+00
 0.855263E+01   85 -.571559E+00 0.000000E+00
 0.855263E+01   86 -.473337E+00 0.000000E+00
 0.855263E+01   87 -.375114E+00 0.000000E+00
 0.855263E+01   88 -.276892E+00 0.000000E+00
 0.855263E+01   89 -.178669E+00 0.000000E+00
 0.855263E+01   90 -.804468E-01 0.000000E+00
 0.855263E+01   91 0.177756E-01 0.000000E+00
 0.855263E+01   92 0.115998E+00 0.000000E+00
 0.855263E+01   93 0.214220E+00 0.000000E+00
 0.855263E+01   94 0.312443E+00 0.000000E+00
 0.855263E+01   95 0.410665E+00 0.000000E+00
 0.855263E+01   96 0.508888E+00 0.000000E+00
 0.855263E+01   97 0.607110E+00 0.000000E+00
 0.855263E+01   98 0.705333E+00 0.000000E+00
 0.855263E+01   99 0.803555E+00 0.000000E+00
 0.873684E+01    1 -.839799E+01 0.000000E+00
 0.873684E+01    2 -.830401E+01 0.000000E+00
 0.873684E+01    3 -.821003E+01 0.000000E+00
 0.873684E+01    4 -.811605E+01 0.000000E+00
 0.873684E+01    5 -.802207E+01 0.000000E+00
 0.873684E+01    6 -.792809E+01 0.000000E+00
 0.873684E+01    7 -.783411E+01 0.000000E+00
 0.873684E+01    8 -.774013E+01 0.000000E+00
 0.873684E+01    9 -.764615E+01 0.000000E+00
 0.873684E+01   10 -.755217E+01 0.000000E+00
 0.873684E+01   11 -.745819E+01 0.000000E+00
 0.873684E+01   12 -.736421E+01 0.000000E+00
 0.873684E+01   13 -.727023E+01 0.000000E+00
 0.873684E+01   14 -.717625E+01 0.000000E+00
 0.873684E+01   15 -.708227E+01 0.000000E+00
 0.873684E+01   16 -.698829E+01 0.000000E+00
 0.873684E+01   17 -.689431E+01 0.000000E+00
 0.873684E+01   18 -.680033E+01 0.000000E+00
 0.873684E+01   19 -.670635E+01 0.000000E+00
 0.873684E+01   20 -.661237E+01 0.000000E+00
 0.873684E+01   21 -.651839E+01 0.000000E+00
 0.873684E+01   22 -.642441E+01 0.000000E+00
 0.873684E+01   23 -.633043E+01 0.000000E+00
 0.873684E+01   24 -.623645E+01 0.000000E+00
 0.873684E+01   25 -.614247E+01 0.000000E+00
 0.873684E+01   26 -.604849E+01 0.000000E+00
 0.873684E+01   27 -.595451E+01 0.000000E+00
 0.873684E+01   28 -.586053E+01 0.000000E+00
 0.873684E+01   29 -.576655E+01 0.000000E+00
 0.873684E+01   30 -.567257E+01 0.000000E+00
 0.873684E+01   31 -.557859E+01 0.000000E+00
 0.873684E+01   32 -.548461E+01 0.000000E+00
 0.873684E+01   33 -.539063E+01 0.000000E+00
 0.873684E+01   34 -.529665E+01 0.000000E+00
 0.873684E+01   35 -.520267E+01 0.000000E+00
 0.873684E+01   36 -.510869E+01 0.000000E+00
 0.873684E+01   37 -.501471E+01 0.000000E+00
 0.873684E+01   38 -.492073E+01 0.000000E+00
 0.873684E+01   39 -.482675E+01 0.000000E+00
 0.873684E+01   40 -.473277E+01 0.000000E+00
 0.873684E+01   41 -.463879E+01 0.000000E+00
 0.873684E+01   42 -.454481E+01 0.000000E+00
 0.873684E+01   43 -.445083E+01 0.000000E+00
 0.873684E+01   44 -.435685E+01 0.000000E+00
 0.873684E+01   45 -.426287E+01 0.000000E+00
 0.873684E+01   46 -.416889E+01 0.000000E+00
 0.873684E+01   47 -.407491E+01 0.106000E-04
 0.873684E+01   48 -.398093E+01 0.213360E-02
 0.873684E+01   49 -.388695E+01 0.666843E-01
 0.873684E+01   50 -.379297E+01 0.395547E+00
